issue_id,canonical_title,ingredient_a,ingredient_b,food_name,success_wisdom,source_title,needs_manual_title
Q01,Deadline 任务过载,咖啡豆,黑白淡奶,热奶茶,别试图用透支明天来填补今天的洞。喝完这杯，先睡一觉。天塌下来，也有高个子和不怕死的小强顶着，你只管打呼噜就行。,direct_0421_v1,false
Q02,,肠粉,咖喱酱,咖喱肠粉,怕弄坏画布所以不敢落笔？在城市里，没被酱汁弄脏过的肠粉是没有灵魂的。别把自己活成一张白纸，那会被猫抓破的。,not_provided_in_md,true
Q03,,粗面,鱼蛋,鱼蛋粗面,螺丝钉也有它的咬合力。如果觉得枯燥，明天试着自己加一份辣椒酱。生活嘛，要么忍受平庸，要么辣到流泪。,not_provided_in_md,true
Q04,,粗面,肠粉,双拼碳水,重复并不可怕，可怕的是你忘了自己可以决定酱汁的配比。既然都是无聊的碳水，那就让它们撞个满怀，撞出一个双倍的饱嗝。,not_provided_in_md,true
Q05,,柠檬片,浓茶,冻柠茶,柠檬本就是酸的，你没法把它煮甜。把酸的挑出去，顾好你自己。至于那个像柠檬一样的朋友，让他去别人的杯里发酸吧。,not_provided_in_md,true
Q06,,浓茶,菠萝包底,菠萝油套餐,面具戴久了会粘在脸上。偶尔在猫面前，你可以把那层酥皮卸下来。毕竟在这个深夜，没人会因为你内心的苦涩而扣你工资。,not_provided_in_md,true
Q07,对性格短板的怀疑,菠萝包底,黄油,冰火菠萝油,既然想跳出安稳，就得忍受黄油化开时的黏腻与不安。猫跳下高台时，也得忍受肚皮着地。优雅是装给别人看的，爽是自己的。,direct_0421_v1,false
Q08,报复性熬夜,浓茶,咖啡豆,鸳鸯奶茶,强行提神的代价是彻底失眠。既然不知道选哪条路，那就把两条路搅合在一起，然后在这个疯狂的夜晚彻底放空。,direct_0421_v1,false
Q09,,汤圆,姜汁,姜汁汤圆,嫉妒是因为你以为大家都在同一个碗里。其实你是姜，他是糖，没必要比。只要你是滚烫的，总会有人愿意为了你满头大汗。,not_provided_in_md,true
Q10,此时此刻的嫉妒心,鱼蛋,咖喱酱,咖喱鱼蛋,橱窗里的猫粮确实香，但别因为盯着它而忘了手里这串鱼蛋。嫉妒会让你的瞳孔缩小，缩小到看不见身后的阳光。,direct_0421_v1,false
Q11,,芒果,椰浆,芒果椰汁西米露,有些食材生来就在阳光下。但在这锅甜汤里，大家最后的归宿都是胃。你是西米也没关系，至少你可以在白色的海洋里自由翻滚。,not_provided_in_md,true
Q12,,牛腩,萝卜,萝卜牛腩,欲望是填不满的，就像牛腩永远嚼不烂。找个平衡点，别被油脂糊住心。猫从来不追求十个罐头，因为它的胃一次只能装下一个。,not_provided_in_md,true
Q13,,萝卜,牛腩,炖萝卜牛腩,你觉得平凡如萝卜？但正是萝卜吸收了高汤的精华。你早已属于这个地方，只是你还没发现自己已经变得如此入味。,not_provided_in_md,true
Q14,,肠粉,萝卜,斋肠萝卜糕,孤独并不可怕，可怕的是你试图用空心的东西去填补它。去吃点实在的，比如这些挤在一起的碳水，能让你暂时忘掉那个没人的家。,not_provided_in_md,true
Q15,,浓茶,柠檬片,咸柠七,哪怕是演戏，能演一辈子也就成了真。别总盯着那点苦涩不放。在这个虚构的城市里，只要不穿帮，你就是最真的那一杯。,not_provided_in_md,true
Q16,,柚子,西米,柚子西米露,很多聚会看着热闹，咬下去全是空的。孤独有时候是高级的自我保护。不想去的人群，就像还没剥开的柚子，随它去吧。,not_provided_in_md,true
