issue_id,internal_id_visible_to_player,canonical_title,title_source,canonical_riddle,riddle_source,ingredient_a,ingredient_b,ingredient_a_id,ingredient_b_id,food_name,shop_id_if_same_shop,shop_name_if_same_shop,recipe_spans_multiple_shops,ingredient_a_shop_id,ingredient_b_shop_id,success_wisdom_available,half_success_hints_available,is_v1_seed,needs_manual_title,needs_manual_riddle,taxonomy_source,level1_category,level2_category,notes
Q01,false,Deadline 任务过载,direct_0421_v1,给我那种能让心脏狂跳的苦，和伪装温柔的白色泡沫。,direct_0421_v1,咖啡豆,黑白淡奶,coffee-beans,evaporated-milk,热奶茶,ice-room,零点冰室,false,ice-room,ice-room,true,true,true,false,false,0424_example_partial,职场与学业,绩效焦虑,V1 direct title/riddle mapped by matching recipe+food
Q02,false,,not_provided_in_md,,not_provided_in_md,肠粉,咖喱酱,rice-roll,curry-sauce,咖喱肠粉,street-stall,霓虹大排档,false,street-stall,street-stall,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q03,false,,not_provided_in_md,,not_provided_in_md,粗面,鱼蛋,thick-noodles,fish-ball,鱼蛋粗面,street-stall,霓虹大排档,false,street-stall,street-stall,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q04,false,,not_provided_in_md,,not_provided_in_md,粗面,肠粉,thick-noodles,rice-roll,双拼碳水,street-stall,霓虹大排档,false,street-stall,street-stall,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q05,false,,not_provided_in_md,,not_provided_in_md,柠檬片,浓茶,lemon-slice,strong-tea,冻柠茶,ice-room,零点冰室,false,ice-room,ice-room,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q06,false,,not_provided_in_md,,not_provided_in_md,浓茶,菠萝包底,strong-tea,pineapple-bun-base,菠萝油套餐,ice-room,零点冰室,false,ice-room,ice-room,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q07,false,对性格短板的怀疑,direct_0421_v1,这块油脂单吃很腻，但这块面包没它又不行。懂了吗？,direct_0421_v1,菠萝包底,黄油,pineapple-bun-base,butter,冰火菠萝油,ice-room,零点冰室,false,ice-room,ice-room,true,true,true,false,false,not_provided_in_md_except_Q01_example,,,V1 direct title/riddle mapped by matching recipe+food
Q08,false,报复性熬夜,direct_0421_v1,人类最愚蠢的交换：用透支的精力，换取那一点点苦涩的清醒。,direct_0421_v1,浓茶,咖啡豆,strong-tea,coffee-beans,鸳鸯奶茶,ice-room,零点冰室,false,ice-room,ice-room,true,true,true,false,false,not_provided_in_md_except_Q01_example,,,V1 direct title/riddle mapped by matching recipe+food
Q09,false,,not_provided_in_md,,not_provided_in_md,汤圆,姜汁,tangyuan,ginger-juice,姜汁汤圆,dessert-station,失眠甜品站,false,dessert-station,dessert-station,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q10,false,此时此刻的嫉妒心,direct_0421_v1,圆润弹牙的球体，被辛辣浓稠的黄色浆汁淹没。,direct_0421_v1,鱼蛋,咖喱酱,fish-ball,curry-sauce,咖喱鱼蛋,street-stall,霓虹大排档,false,street-stall,street-stall,true,true,true,false,false,not_provided_in_md_except_Q01_example,,,V1 direct title/riddle mapped by matching recipe+food
Q11,false,,not_provided_in_md,,not_provided_in_md,芒果,椰浆,mango,coconut-milk,芒果椰汁西米露,dessert-station,失眠甜品站,false,dessert-station,dessert-station,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q12,false,,not_provided_in_md,,not_provided_in_md,牛腩,萝卜,beef-brisket,radish,萝卜牛腩,street-stall,霓虹大排档,false,street-stall,street-stall,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q13,false,,not_provided_in_md,,not_provided_in_md,萝卜,牛腩,radish,beef-brisket,炖萝卜牛腩,street-stall,霓虹大排档,false,street-stall,street-stall,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q14,false,,not_provided_in_md,,not_provided_in_md,肠粉,萝卜,rice-roll,radish,斋肠萝卜糕,street-stall,霓虹大排档,false,street-stall,street-stall,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q15,false,,not_provided_in_md,,not_provided_in_md,浓茶,柠檬片,strong-tea,lemon-slice,咸柠七,ice-room,零点冰室,false,ice-room,ice-room,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q16,false,,not_provided_in_md,,not_provided_in_md,柚子,西米,pomelo,sago,柚子西米露,dessert-station,失眠甜品站,false,dessert-station,dessert-station,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q17,false,,not_provided_in_md,,not_provided_in_md,椰浆,汤圆,coconut-milk,tangyuan,椰汁汤圆,dessert-station,失眠甜品站,false,dessert-station,dessert-station,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q18,false,,not_provided_in_md,,not_provided_in_md,浓茶,咖啡豆,strong-tea,coffee-beans,苦鸳鸯,ice-room,零点冰室,false,ice-room,ice-room,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q19,false,,not_provided_in_md,,not_provided_in_md,汤圆,芒果,tangyuan,mango,芒果汤圆,dessert-station,失眠甜品站,false,dessert-station,dessert-station,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q20,false,,not_provided_in_md,,not_provided_in_md,姜汁,芒果,ginger-juice,mango,姜芒撞奶,dessert-station,失眠甜品站,false,dessert-station,dessert-station,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q21,false,,not_provided_in_md,,not_provided_in_md,菠萝包底,黄油,pineapple-bun-base,butter,黄金菠萝油,ice-room,零点冰室,false,ice-room,ice-room,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q22,false,,not_provided_in_md,,not_provided_in_md,西米,椰浆,sago,coconut-milk,椰汁西米露,dessert-station,失眠甜品站,false,dessert-station,dessert-station,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q23,false,,not_provided_in_md,,not_provided_in_md,粗面,牛腩,thick-noodles,beef-brisket,牛腩捞面,street-stall,霓虹大排档,false,street-stall,street-stall,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q24,false,,not_provided_in_md,,not_provided_in_md,柠檬片,芒果,lemon-slice,mango,柠香芒果,,,true,ice-room,dessert-station,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q25,false,,not_provided_in_md,,not_provided_in_md,浓茶,黑白淡奶,strong-tea,evaporated-milk,丝袜奶茶,ice-room,零点冰室,false,ice-room,ice-room,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q26,false,,not_provided_in_md,,not_provided_in_md,粗面,鱼蛋,thick-noodles,fish-ball,鱼蛋粉,street-stall,霓虹大排档,false,street-stall,street-stall,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q27,false,,not_provided_in_md,,not_provided_in_md,咖啡豆,柠檬片,coffee-beans,lemon-slice,柠啡,ice-room,零点冰室,false,ice-room,ice-room,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q28,false,,not_provided_in_md,,not_provided_in_md,姜汁,汤圆,ginger-juice,tangyuan,姜汁汤圆,dessert-station,失眠甜品站,false,dessert-station,dessert-station,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
Q29,false,,not_provided_in_md,,not_provided_in_md,萝卜,肠粉,radish,rice-roll,萝卜肠粉,street-stall,霓虹大排档,false,street-stall,street-stall,true,true,false,true,true,not_provided_in_md_except_Q01_example,,,Title/riddle not explicitly provided in 0421/0424 md; keep blank for manual review.
