issue_id,display_title,level1,level2,is_default_seed,is_public,notes
Q01,Deadline 任务过载,职场与学业,Deadline / 绩效焦虑,TRUE,TRUE,默认五心结；已验证主路径
Q02,创作起步恐惧,职场与学业,创作卡壳,FALSE,TRUE,
Q03,机械式续命,职场与学业,重复劳动,FALSE,TRUE,
Q04,重复劳动麻木,职场与学业,重复劳动,FALSE,TRUE,
Q05,柠檬朋友委屈,关系与亲密,友情边界,FALSE,TRUE,
Q06,温柔面具戴太久,职场与学业,情绪面具,FALSE,TRUE,
Q07,想跳出安稳,生活节奏,改变与冒险,FALSE,TRUE,不是默认五心结，但可作为生活节奏入口
Q08,报复性熬夜,生活节奏,报复性熬夜,TRUE,TRUE,默认五心结；已验证主路径
Q09,同辈比较上头,欲望与金钱,嫉妒 / 同辈压力,FALSE,TRUE,与 Q10 同二级；如觉得重复可后续拆为比较焦虑
Q10,此时此刻的嫉妒心,欲望与金钱,嫉妒 / 同辈压力,TRUE,TRUE,默认五心结；已验证主路径
Q11,觉得自己不够闪亮,自我与情绪,自我价值,FALSE,TRUE,
Q12,欲望填不满,欲望与金钱,欲望平衡,FALSE,TRUE,
Q13,找不到归属感,关系与亲密,归属感缺失,FALSE,TRUE,
Q14,空房间孤独,关系与亲密,孤独感,FALSE,TRUE,
Q15,演出来的真实,自我与情绪,真实与表演,FALSE,TRUE,
Q16,热闹场合空心,关系与亲密,社交疲惫,FALSE,TRUE,
Q17,等一个同频的人,关系与亲密,归属感缺失,FALSE,TRUE,
Q18,苦到反胃的关系,关系与亲密,关系消耗,FALSE,TRUE,
Q19,被旧回忆粘住,关系与亲密,旧关系牵扯,FALSE,TRUE,
Q20,哭完还舍不得空碗,关系与亲密,旧关系牵扯,FALSE,TRUE,
Q21,对性格短板的怀疑,自我与情绪,自我接纳,TRUE,TRUE,默认五心结；由 V1“对性格短板的怀疑”映射
Q22,碎裂后的重组,自我与情绪,自我修复,FALSE,TRUE,
Q23,讨好到负重,关系与亲密,讨好与边界,FALSE,TRUE,
Q24,外酸内甜的评价焦虑,自我与情绪,外部评价,FALSE,TRUE,跨店配方；已有编译警告但不阻断
Q25,深夜虚无感,自我与情绪,深夜情绪,FALSE,TRUE,
Q26,生活没味道,生活节奏,平淡与意义,FALSE,TRUE,
Q27,刷到别人人生切片,自我与情绪,信息流比较,FALSE,TRUE,
Q28,未来还没来就害怕,自我与情绪,未来焦虑,FALSE,TRUE,
Q29,空间太窄喘不过气,生活节奏,空间压迫,FALSE,TRUE,
Q30,想让味觉先旅行,生活节奏,空间与远方,FALSE,TRUE,
Q31,时间被榨干,生活节奏,休息与时间,FALSE,TRUE,
Q32,熬夜换自由,生活节奏,报复性熬夜,FALSE,TRUE,
Q33,钱与欲望高汤,欲望与金钱,金钱欲望,FALSE,TRUE,
Q34,幻想一夜暴富,欲望与金钱,金钱幻想,FALSE,TRUE,
Q35,倒霉透顶求转机,欲望与金钱,低谷转机,TRUE,TRUE,默认五心结；跨店配方；已有编译警告但不阻断
Q36,苦到极致等回甘,欲望与金钱,低谷转机,FALSE,TRUE,
Q37,未知恐惧与控制欲,自我与情绪,过度担心,FALSE,TRUE,跨店配方；已有编译警告但不阻断
Q38,撑太久想软弱,自我与情绪,疲惫与脆弱,FALSE,TRUE,
Q39,聪明过头不快乐,自我与情绪,过度思考,FALSE,TRUE,重复食材特殊题；半成功提示共用
Q40,需要一个出门理由,生活节奏,出门与行动,FALSE,TRUE,
