issue_id,cat_riddle
Q01,"""给我那种能让心脏狂跳的苦味，再盖上一层伪装成温柔的白色泡沫。"""
Q02,"""去弄一份最洁白无瑕的本体，然后用最浓稠、最脏的酱汁把它彻底淹没。"""
Q03,"""去拿最基础的碳水和最廉价的肉球。这是你们这类人活下去的机械能量。"""
Q04,"""两种最平淡、重复的碳水堆叠在一起，像你那毫无营养的每一天。"""
Q05,"""把那种让人清冷的酸，和那种刮油的苦涩混在一起。这就是委屈。"""
Q06,"""去拿那杯最苦最涩的液体，去配那个最甜美最酥脆的外壳。这就是面具。"""
Q07,"""在最酥脆的底座上，放上一块最厚重、最诱人也最危险的油脂。"""
Q08,"""两种能让人彻夜难眠的苦水发生了冲撞。这一杯下去，你就不用选了。"""
Q09,"""一碗滚烫的辛辣，里面藏着几颗假装圆满的白色球体。很烫，对吧？"""
Q10,"""那些圆润弹牙的球体，被辛辣浓稠的黄色酱汁包裹。这就是嫉妒的滋味。"""
Q11,"""那些天生就带着热带香气的东西，被纯白醇厚的液体淹没。它们生在阳光下。"""
Q12,"""去拿那个最难嚼的、带着筋膜的肉块，配上最廉价、吸收了所有油脂的植物。"""
Q13,"""一种埋在土里的廉价根茎，在浓郁的高汤里煮得烂透了。它已经属于这了。"""
Q14,"""最单调的碳水和最苍白的根茎，挤在一个狭小的碗里。就像此刻的你。"""
Q15,"""本喵要一杯清冷尖刻的液体，像你们不敢直视的真相一样，又酸又涩。"""
Q16,"""剥开苦涩的外皮，里面全是一粒粒渺小、透明、却想拼命聚在一起的珠子。"""
Q17,"""去找两种最醇厚、最浓郁的白色。看看它们能不能在碗里真正融合。"""
Q18,"""苦涩的液体和更苦涩的粉末。既然已经开始反胃，为什么不倒掉？"""
Q19,"""黏糊糊的拥抱和已经熟透了的金色回忆。它很甜，但也快要腐烂了。"""
Q20,"""一种让你眼眶发热的火辣，和一种已经远去的金色的香。吃完就忘了吧。"""
Q21,"""这块黄色的油脂单吃很腻，但这块面包没它又不行。懂了吗？"""
Q22,"""原本碎裂的、透明的残片，只要跳进那片纯白的海洋，就能活过来。"""
Q23,"""既然你这么喜欢'承载'别人，那就给我一份最沉重、最难嚼的东西。"""
Q24,"""外面是极度的酸，里面是极度的甜。别把你的壳和你的心搞混了。"""
Q25,"""那是深夜的茶色和清晨的白色。这一杯喝完，天也就亮了。"""
Q26,"""毫无味道的碳水堆叠在一起。意义？意义是你最后加的那勺辣椒酱。"""
Q27,"""你需要一点极度的清醒，和一点酸涩的视角。切断那些发光的谎言。"""
Q28,"""去弄一碗辣得你满头大汗的水，去保护那几颗软弱、白嫩的心。"""
Q29,"""两种最廉价、最苍白、生活在底层的食材。它们挨得这么近，真挤。"""
Q30,"""把那些长在树上的、带着阳光和果酸的香气都给我拿来。这里太闷了。"""
Q31,"""用最刮油的涩味，去强行消解那块肥腻的时间。你快要透支了。"""
Q32,"""人类最愚蠢的交换：用透支的精力，去换取那一点点苦涩的清醒。"""
Q33,"""厚重、结实、能让你产生幻觉的脂肪，配上难嚼的肉。假装很安全。"""
Q34,"""金色的美梦，盖在软糯的幻想之上。去拿那份最像金子的礼物。"""
Q35,"""一种从土里长出来的辣，去冲撞另一种从土里长出来的苍白。转机在地下。"""
Q36,"""苦上加苦，涩中带涩。既然你觉得生活没给你出路，那就再熬一会儿。"""
Q37,"""那种清冷的酸，和那种老实的根茎。你该清理一下你的内部系统了。"""
Q38,"""给本喵一份像云朵一样柔软、像奶脂一样温润的安慰。快去。"""
Q39,"""给我双倍的、跳来跳去的、没有脑子的圆形肉球。这就是你们。"""
Q40,"""去剥开那层苦涩的皮，去寻找那个金色的惊喜。太阳还没落山呢。"""
