issue_id,ingredient_a,ingredient_b,ingredient_a_id,ingredient_b_id,food_name,half_success_type,hint_a_label,hint_a_text,hint_b_label,hint_b_text,source_doc,source_section,notes
Q01,咖啡豆,黑白淡奶,coffee-beans,evaporated-milk,热奶茶,dual,只匹配咖啡豆,苦味倒是有了，可那层伪装温柔的白色泡沫呢？没有它，心脏跳得太孤单。,只匹配黑白淡奶,奶白泡沫来了，但缺少能让心脏狂跳的苦味。温柔的假面需要苦底撑着。,0424.md,附录一：半成功提示,
Q02,肠粉,咖喱酱,rice-roll,curry-sauce,咖喱肠粉,dual,只匹配肠粉,洁白的粉皮已到位，但最浓稠最脏的酱汁还没淋上来。没有淹没，就不算堕落。,只匹配咖喱酱,浓稠脏酱汁有了，可那块洁白无瑕的本体呢？没有粉皮，酱汁无处施展。,0424.md,附录一：半成功提示,
Q03,粗面,鱼蛋,thick-noodles,fish-ball,鱼蛋粗面,dual,只匹配粗面,基础碳水对了，但廉价的肉球还没滚进来。没有鱼蛋，你拿什么机械续命？,只匹配鱼蛋,肉球来了，可最基础的碳水还没下锅。没有粗面，能量链条断了。,0424.md,附录一：半成功提示,
Q04,粗面,肠粉,thick-noodles,rice-roll,双拼碳水,dual,只匹配粗面,一种重复碳水有了，可另一种同样无聊的肠粉呢？双倍乏味才够味。,只匹配肠粉,苍白肠粉到场，但缺少另一种平淡碳水。营养毫无波澜，还差一半。,0424.md,附录一：半成功提示,
Q05,柠檬片,浓茶,lemon-slice,strong-tea,冻柠茶,dual,只匹配柠檬片,清冷的酸味对了，可刮油的苦涩还没倒进来。委屈的配方缺一不可。,只匹配浓茶,苦涩液体有了，但酸味柠檬片呢？没有酸，清冷感全无。,0424.md,附录一：半成功提示,
Q06,浓茶,菠萝包底,strong-tea,pineapple-bun-base,菠萝油套餐,dual,只匹配浓茶,最苦的液体已备，可甜美酥脆的外壳呢？面具缺一半，戴不牢。,只匹配菠萝包底,酥脆外壳有了，但最苦的液体还没端来。没有苦底，甜就变成虚伪。,0424.md,附录一：半成功提示,
Q07,菠萝包底,黄油,pineapple-bun-base,butter,冰火菠萝油,dual,只匹配菠萝包底,酥脆底座正确，可那块厚重危险的油脂呢？没有黄油，安稳跳不出黏腻。,只匹配黄油,油脂到位，但缺少酥脆底座。没有面包，油腻无处附着。,0424.md,附录一：半成功提示,
Q08,浓茶,咖啡豆,strong-tea,coffee-beans,鸳鸯奶茶,dual,只匹配浓茶,一种彻夜难眠的苦水对了，还差另一种更苦的粉末。让它们在你胃里打架。,只匹配咖啡豆,咖啡苦味有了，但浓茶的涩还没来。双倍失眠，缺一味都不行。,0424.md,附录一：半成功提示,
Q09,汤圆,姜汁,tangyuan,ginger-juice,姜汁汤圆,dual,只匹配汤圆,假装圆满的白色球体有了，但滚烫的辛辣还没来。没有姜汁，烫只烫一半。,只匹配姜汁,辛辣姜汁到位，可那几颗软糯白球呢？没有汤圆，辣得没目标。,0424.md,附录一：半成功提示,
Q10,鱼蛋,咖喱酱,fish-ball,curry-sauce,咖喱鱼蛋,dual,只匹配鱼蛋,弹牙鱼蛋已在，但辛辣黄色酱汁还没淋上。嫉妒需要完整包裹。,只匹配咖喱酱,浓稠咖喱来了，可圆润鱼蛋呢？没有球体，酱汁裹空气。,0424.md,附录一：半成功提示,
Q11,芒果,椰浆,mango,coconut-milk,芒果椰汁西米露,dual,只匹配芒果,热带香气有了，但纯白醇厚的液体还没倒。阳光需要奶浴才温柔。,只匹配椰浆,白色椰浆到场，可金色芒果呢？没有果香，奶浴太寡淡。,0424.md,附录一：半成功提示,
